,link,Title,Description,Price,Total Price,Reviews
10,https://www.airbnb.co.in/rooms/21373363?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Hotel room in WaikikiModern unit with a beautiful view,2 guests · 1 bedroom · 1 bed · 1 private bathroom,"₹12,107","₹68,250 total",4.87
11,https://www.airbnb.co.in/rooms/50178191?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire apartment in WaikikiBeautiful Penthouse | Heart of Waikiki | Split AC,4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹16,475","₹97,734 total",4.75
12,https://www.airbnb.co.in/rooms/19876378?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire rental unit in HonoluluSTUDIO ON THE 19TH FLOOR IN WAIKIKI!!!,2 guests · Studio · 1 bed · 1 bathroom,"₹8,934","₹52,310 total",4.0
13,https://www.airbnb.co.in/rooms/50474903?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire rental unit in WaikikiSpacious One bed room suite at Waikiki (Two Queen),4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹12,272","₹68,690 total",4.64
14,https://www.airbnb.co.in/rooms/51962056?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire rental unit in Waikiki✨ Standard Room with 2 Double Beds at  Waikiki beach,4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹16,292","₹81,460 total",4.64
15,https://www.airbnb.co.in/rooms/40660979?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire rental unit in Downtown HonoluluDowntown Honolulu Apt with free parking.,4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹15,717","₹86,303 total",4.76
16,https://www.airbnb.co.in/rooms/15395351?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire rental unit in WaikikiWaikiki Condo w/Parking at Marine Surf,5 guests · 1 bedroom · 2 beds · 1.5 bathrooms,"₹15,826","₹90,707 total",4.58
17,https://www.airbnb.co.in/rooms/621458274810969087?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire apartment in HonoluluSkyline King Studio APT W/Pano City & Ocean Views!,3 guests · Studio · 2 beds · 1 bathroom,"₹13,922","₹79,258 total",New
18,https://www.airbnb.co.in/hotels/41740619?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Hotel in HonoluluAlohilani Resort Waikiki Beach,10 room types · 839 total rooms on property,"₹21,855","₹1,29,233 total",4.56
19,https://www.airbnb.co.in/rooms/48259800?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=ab9be028-bcb4-4588-b829-3c888a372a7e,Entire rental unit in Waikiki#7 Waikiki city view studio with parking,3 guests · Studio · 2 beds · 1 bathroom,"₹13,428","₹74,855 total",4.71
20,https://www.airbnb.co.in/rooms/48922145?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire apartment in WaikikiSurf shack 3 min walk to Waikiki beach🏄🏻‍♂️,2 guests · Studio · 1 bathroom,"₹11,620","₹67,282 total",4.79
21,https://www.airbnb.co.in/rooms/42611967?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire apartment in HonoluluRare Waikiki 31st High Floor Corner Studio,2 guests · Studio · 1 bed · 1 bathroom,"₹10,477","₹61,645 total",4.50
22,https://www.airbnb.co.in/rooms/29615156?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,"Entire apartment in WaikikiOcean View, Half block To Beach, Modern, Waikiki A",2 guests · 1 bedroom · 1 bed · 1 bathroom,"₹16,917","₹94,229 total",4.74
23,https://www.airbnb.co.in/rooms/19876378?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire rental unit in HonoluluSTUDIO ON THE 19TH FLOOR IN WAIKIKI!!!,2 guests · Studio · 1 bed · 1 bathroom,"₹8,934","₹52,310 total",4.0
24,https://www.airbnb.co.in/rooms/549405912552758739?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Hotel room in HonoluluPrivate Room 2 Twins Near HNL Airport,2 guests · 1 bedroom · 2 beds · 1 private bathroom,"₹9,091","₹45,453 total",4.0
25,https://www.airbnb.co.in/rooms/27260122?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire rental unit in WaikikiIlikai Marina 1 bed Beautiful Ocean Views,4 guests · 1 bedroom · 1 bed · 1 bathroom,"₹15,935","₹95,110 total",4.77
26,https://www.airbnb.co.in/rooms/619563533817785020?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire rental unit in HonoluluModern King Bed Studio close to Convention Center,2 guests · Studio · 1 bed · 1 bathroom,"₹11,578","₹65,609 total",New
27,https://www.airbnb.co.in/rooms/49700216?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire apartment in Downtown Honolulu**Free Parking - Sanitized and Safe 1BR Suite,3 guests · 1 bedroom · 1 bed · 1 bathroom,"₹12,953","₹77,498 total",4.39
28,https://www.airbnb.co.in/rooms/48259800?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire rental unit in Waikiki#7 Waikiki city view studio with parking,3 guests · Studio · 2 beds · 1 bathroom,"₹13,428","₹74,855 total",4.71
29,https://www.airbnb.co.in/rooms/619600935272949561?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,"Entire rental unit in Honolulu10th floor Studio The Palms Waikiki, Come join Us!",2 guests · Studio · 1 bed · 1 bathroom,"₹11,578","₹65,609 total",New
30,https://www.airbnb.co.in/rooms/49796059?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire rental unit in WaikikiNewly renovated Family Suite Honu Waikiki by ALOH,4 guests · 1 bedroom · 3 beds · 1 bathroom,"₹12,096","₹67,810 total",4.80
31,https://www.airbnb.co.in/rooms/542336653980282948?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Private room in HonoluluSublime Waikiki Sunsets- Private Room - Manoa,2 guests · 1 bedroom · 2 beds · 1 shared bathroom,"₹7,587","₹44,032 total",4.25
32,https://www.airbnb.co.in/rooms/53906961?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire apartment in WaikikiBeautiful Queen Studio!* Central Waikiki!,3 guests · Studio · 2 beds · 1 bathroom,"₹17,027","₹95,551 total",4.72
33,https://www.airbnb.co.in/rooms/28037364?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire apartment in WaikikiPrivate place above Penthouse level Bamboo Hotel,2 guests · Studio · 1 bed · 1 bathroom,"₹10,752","₹63,406 total",3.89
34,https://www.airbnb.co.in/rooms/27314098?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire apartment in WaikikiOur pride & joy awaits your presence. Take a peak!,3 guests · Studio · 1 bed · 1 bathroom,"₹11,754","₹66,489 total",4.40
35,https://www.airbnb.co.in/rooms/15395351?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire rental unit in WaikikiWaikiki Condo w/Parking at Marine Surf,5 guests · 1 bedroom · 2 beds · 1.5 bathrooms,"₹15,826","₹90,707 total",4.58
36,https://www.airbnb.co.in/rooms/621458274810969087?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire apartment in HonoluluSkyline King Studio APT W/Pano City & Ocean Views!,3 guests · Studio · 2 beds · 1 bathroom,"₹13,922","₹79,258 total",New
37,https://www.airbnb.co.in/rooms/51607824?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire apartment in Honolulu**Professionally Sanitized** Condo by the Beach w/Large Lanai+Full Kitchen! - Regency on Beachwalk 1 BDR on the 2nd Floor A,4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹14,584","₹85,189 total",4.50
38,https://www.airbnb.co.in/rooms/17752877?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire rental unit in WaikikiPRIME location <3 of Waikiki Full kitchen& Laundry,4 guests · Studio · 2 beds · 1 bathroom,"₹14,308","₹79,258 total",4.40
39,https://www.airbnb.co.in/rooms/51962056?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=72826aa1-bc9f-4061-bb11-26e0c6fa5f31,Entire rental unit in Waikiki✨ Standard Room with 2 Double Beds at  Waikiki beach,4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹16,292","₹81,460 total",4.64
40,https://www.airbnb.co.in/rooms/548036029280445343?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Entire apartment in WaikikiCozy Studio Near Mall & Waikiki Beach!!!,3 guests · 1 bedroom · 2 beds · 1 bathroom,"₹13,669","₹78,377 total",4.67
41,https://www.airbnb.co.in/rooms/27314098?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Entire apartment in WaikikiOur pride & joy awaits your presence. Take a peak!,3 guests · Studio · 1 bed · 1 bathroom,"₹11,754","₹66,489 total",4.40
42,https://www.airbnb.co.in/rooms/50345986?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,"Entire apartment in WaikikiBright Sunflower Unit, Block To Beach, Ocean view!",2 guests · 1 bedroom · 1 bed · 1 bathroom,"₹16,917","₹94,229 total",4.82
43,https://www.airbnb.co.in/rooms/27831848?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Entire apartment in Waikiki**Professionally Sanitized** Updated Nahua Condo w/Full Kitchen+Free Parking! - Nahua City 1 BDR on the 11th Floor,4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹14,225","₹83,393 total",4.44
44,https://www.airbnb.co.in/rooms/53906961?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Entire apartment in WaikikiBeautiful Queen Studio!* Central Waikiki!,3 guests · Studio · 2 beds · 1 bathroom,"₹17,027","₹95,551 total",4.72
45,https://www.airbnb.co.in/rooms/28642163?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Entire apartment in WaikikiIP12-WAIKIKI BeACH*NEW*STUDIO with LANAI*,2 guests · Studio · 1 bed · 1 bathroom,"₹10,995","₹62,614 total",4.35
46,https://www.airbnb.co.in/rooms/53316891?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Entire apartment in WaikikiRemodeled Waikiki 26th Fl Contemporary Studio,2 guests · Studio · 1 bed · 1 bathroom,"₹9,940","₹58,959 total",4.25
47,https://www.airbnb.co.in/rooms/28037364?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Entire apartment in WaikikiPrivate place above Penthouse level Bamboo Hotel,2 guests · Studio · 1 bed · 1 bathroom,"₹10,752","₹63,406 total",3.89
48,https://www.airbnb.co.in/rooms/44324993?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Entire apartment in HonoluluOcean View Condo on 25th Floor Near Beach & Royal Hawaiian Shopping Center,2 guests · 1 bedroom · 1 bed · 1 bathroom,"₹17,082","₹1,01,539 total",New
49,https://www.airbnb.co.in/rooms/14808299?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Entire apartment in Honolulu(((Upgraded June.2021!))) 1 Bedroom oceanview,4 guests · 1 bedroom · 1 bed · 1 bathroom,"₹40,043","₹2,14,877 total",4.91
50,https://www.airbnb.co.in/rooms/623226835448505187?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Entire apartment in HonoluluLuxurious 1-Bedroom Condo near Waikiki Beach!!!,4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹18,158","₹1,10,079 total",New
51,https://www.airbnb.co.in/rooms/8106508?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,"Entire apartment in WaikikiLovely apartment with ocean views, pool, jacuzzi - near beach",4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹17,471","₹1,02,478 total",4.16
52,https://www.airbnb.co.in/rooms/49630853?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Entire apartment in WaikikiNo resort fee/tax. Across Famous Hilton. Park free,4 guests · Studio · 1 bathroom,"₹12,795","₹73,622 total",4.83
53,https://www.airbnb.co.in/rooms/30069130?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Entire rental unit in WaikikiAli'i Suite @ The Waikiki Banyan,4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹22,519","₹1,24,171 total",4.84
54,https://www.airbnb.co.in/rooms/52116118?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Entire apartment in Waikiki**Professionally Sanitized**Mountain View+Amenities+Full Kitchen+Free Parking - Waikiki Sunset Mountain 1 BDR on the 30th Floor B,4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹16,972","₹97,131 total",5.0
55,https://www.airbnb.co.in/rooms/584000477750080325?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,"Entire apartment in WaikikiOcean view studio with wall-to-wall balcony and rooftop pool, hot tub, & sauna",2 guests · Studio · 2 beds · 1 bathroom,"₹16,345","₹94,688 total",New
56,https://www.airbnb.co.in/rooms/17308527?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,"Entire apartment in HONOLULUBright Ocean View! A/C, Kitchenette, WiFi, Flat Screen+ More! Waikiki Shore #1004",2 guests · Studio · 1 bed · 1 bathroom,"₹23,980","₹1,34,562 total",4.72
57,https://www.airbnb.co.in/rooms/48700022?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,"Entire apartment in North Shore🏝 Island Bungalow With Views, Steps to Beach ☀️",2 guests · 1 bedroom · 2 beds · 1 bathroom,"₹26,801","₹1,47,508 total",4.92
58,https://www.airbnb.co.in/rooms/549405912552758739?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,Hotel room in HonoluluPrivate Room 2 Twins Near HNL Airport,2 guests · 1 bedroom · 2 beds · 1 private bathroom,"₹9,091","₹45,453 total",4.0
59,https://www.airbnb.co.in/rooms/38086946?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=abe59cfb-3349-4a1d-bb8d-8454140f4992,"Hotel room in Waikiki1 King Bed w/Waikiki View, Hotel Renew",2 guests · Studio · 1 bed · 1 private bathroom,"₹15,820","₹79,099 total",4.47
60,https://www.airbnb.co.in/rooms/24522646?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire apartment in WaikikiModern Getaway - One Block from Waikiki Beach,2 guests · Studio · 1 bed · 1 bathroom,"₹15,310","₹85,423 total",4.90
61,https://www.airbnb.co.in/rooms/40970510?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,"Entire apartment in WaikikiModern condo w/ full kitchen, free WiFi - walk to Waikiki Beach!",2 guests · 1 bedroom · 3 beds · 1 bathroom,"₹14,946","₹89,854 total",4.73
62,https://www.airbnb.co.in/rooms/30406405?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire apartment in WaikikiSTUDIO ON 21ST FLOOR IN WAIKIKI!!!,2 guests · Studio · 1 bed · 1 bathroom,"₹8,934","₹52,310 total",4.21
63,https://www.airbnb.co.in/rooms/38766538?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire apartment in WaikikiSTEPS FROM BEACH! PARTIAL OCEANVIEW! FREE PARKING!,4 guests · Studio · 2 beds · 1 bathroom,"₹13,955","₹80,580 total",4.87
64,https://www.airbnb.co.in/rooms/14185806?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire rental unit in Honolulu*WAiKiKi BEACH*OCEAN&PARKViEWS*LANAI*Parking*,2 guests · Studio · 1 bed · 1 bathroom,"₹14,403","₹81,196 total",4.70
65,https://www.airbnb.co.in/rooms/17308527?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,"Entire apartment in HONOLULUBright Ocean View! A/C, Kitchenette, WiFi, Flat Screen+ More! Waikiki Shore #1004",2 guests · Studio · 1 bed · 1 bathroom,"₹23,980","₹1,34,562 total",4.72
66,https://www.airbnb.co.in/rooms/623226835448505187?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire apartment in HonoluluLuxurious 1-Bedroom Condo near Waikiki Beach!!!,4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹18,158","₹1,10,079 total",New
67,https://www.airbnb.co.in/rooms/53496253?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire serviced apartment in WaikikiLuxury Junior Suite Sunset Ocean View Ilikai Hotel,4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹18,900","₹1,06,075 total",4.83
68,https://www.airbnb.co.in/rooms/49630853?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire apartment in WaikikiNo resort fee/tax. Across Famous Hilton. Park free,4 guests · Studio · 1 bathroom,"₹12,795","₹73,622 total",4.83
69,https://www.airbnb.co.in/rooms/50520812?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire apartment in WaikikiPartial Ocean View♪ 1 Block from Waikiki Beach,3 guests · Studio · 1 bed · 1 bathroom,"₹13,913","₹72,499 total",4.60
70,https://www.airbnb.co.in/rooms/53204161?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,"Entire apartment in WaikikiWaikiki 1BR W/Kitchen, Max 4! Stay W/Family etc.",4 guests · 1 bedroom · 2 beds · 1 bathroom,"₹13,666","₹71,262 total",4.33
71,https://www.airbnb.co.in/rooms/9910257?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire apartment in HonoluluALOHA-WAIKIKI   BEAUTIFUL OCEAN PENTHOUSE 1BR,2 guests · 1 bedroom · 1 bed · 1.5 bathrooms,"₹16,949","₹95,551 total",4.65
72,https://www.airbnb.co.in/rooms/48506722?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire apartment in Honolulu37th Fl: Ocean view+Walk to Waikiki+King bed,2 guests · 1 bedroom · 1 bed · 1 bathroom,"₹2,64,401","₹13,29,336 total",4.78
73,https://www.airbnb.co.in/rooms/18294310?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire apartment in WaikikiCenter of Waikiki Renovated Ocean View Condo(MS03),3 guests · Studio · 2 beds · 1 bathroom,"₹13,546","₹78,377 total",4.60
74,https://www.airbnb.co.in/rooms/6676599?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire home in HauulaModern Hawaii Beach Home,7 guests · 3 bedrooms · 5 beds · 2 bathrooms,"₹33,703","₹1,80,093 total",4.30
75,https://www.airbnb.co.in/rooms/49130811?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,"Room in boutique hotel in WaikikiRoom Near Ala Moana Center, 1 Queen",2 guests · Studio · 1 bed · 1 private bathroom,"₹15,587","₹77,937 total",4.59
76,https://www.airbnb.co.in/rooms/6271795?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire rental unit in WaikikiPanoramic Ocean & City Views - Parking-Legal -2401,2 guests · Studio · 1 bed · 1 bathroom,"₹17,961","₹97,135 total",4.45
77,https://www.airbnb.co.in/rooms/26063949?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,"Room in boutique hotel in WaikikiClassic King Room at The Equus, Near Ala Moana!",2 guests · 1 bedroom · 1 bed · 1 private bathroom,"₹16,468","₹82,340 total",4.56
78,https://www.airbnb.co.in/rooms/39819213?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire rental unit in HonoluluAS15-Corner unit*Bright and Airy*Walk2beach*,2 guests · Studio · 2 beds · 1 bathroom,"₹12,808","₹72,917 total",4.20
79,https://www.airbnb.co.in/rooms/6285718?check_in=2022-05-30&check_out=2022-06-04&previous_page_section_name=1000&federated_search_id=e0593799-8de4-4689-9a7c-371d53c345d7,Entire rental unit in WaikikiSpacious 1BR w/ Huge Lanai! Steps to Beach,4 guests · 1 bedroom · 1 bed · 1 bathroom,"₹14,723","₹89,052 total",4.41
